Genus,Species,Year,Stream,State.Prov.,Country,Elev.m,Date,Lat,Lon,D.From.Source.m,Verified.Since.2010
Lednia,Lednia tumana,1996-2015,Two Ocean Glacier 2,MT,USA,2311,NA,48.8383,-114.012,72.5,yes
Lednia,Lednia tumana,1996-2015,Two Ocean Glacier 3,MT,USA,2238,NA,48.8371,-114.0073,92.7,yes
Lednia,Lednia tumana,1996-2015,Two Ocean Glacier 4,MT,USA,2238,NA,48.8366,-114.0072,87,yes
Lednia,Lednia tumana,2011,Upper Kintla,MT,USA,1826,NA,48.946789,-114.140164,1201,yes
Lednia,Lednia tumana,1996-2015,Upper McDonald Creek 3,MT,USA,2169,NA,48.7391,-113.7276,201,yes
Lednia,Lednia tumana,1996-2015,Upper McDonald Creek 8,MT,USA,1970,NA,48.7091,-113.7157,538,yes
Lednia,Lednia tumana,1996-2015,Upper Olor Lake,MT,USA,2211,NA,47.7397,-113.6519,559,yes
Lednia,Lednia tumana,1996-2015,Vulture Peak South Face,MT,USA,2380,NA,48.8271,-114.014,33.4,yes
Lednia,Lednia tumana,1996-2015,Weasel Collar Glacier,MT,USA,1763.7,NA,48.9003,-114.0648,28.9,yes
Lednia,Lednia tumana,1996-2015,Whitecrow Glacier East,MT,USA,1693,NA,48.9164,-113.8227,999,yes
Lednia,Lednia tumana,1996-2015,Whitecrow Glacier West,MT,USA,1701,NA,48.9159,-113.8247,910,yes
